day;new_expositions;immune;active_cases_1;new_expositions_1;active_cases_2;new_expositions_2;strain2 %;max_expositions;max_expositions_1;max_expositions_2;
1;0;0;0;0;0;0;0;0;0;0;
2;0;0;0;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;0;0;0;
4;3.46867e-05;3.46867e-05;8.6718e-05;3.46867e-05;0;0;0;3.46867e-05;3.46867e-05;0;
5;3.34715e-05;6.69441e-05;8.36829e-05;3.34715e-05;0;0;0;3.46867e-05;3.46867e-05;0;
6;3.2299e-05;9.69001e-05;8.0754e-05;3.2299e-05;0;0;0;3.46867e-05;3.46867e-05;0;
7;3.11677e-05;0.000124676;7.79276e-05;3.11677e-05;0;0;0;3.46867e-05;3.46867e-05;0;
8;1.20303e-05;0.000132343;3.00796e-05;1.20303e-05;0;0;0;3.46867e-05;3.46867e-05;0;
9;2.32178e-05;0.000150929;5.80526e-05;2.32178e-05;0;0;0;3.46867e-05;3.46867e-05;0;
10;3.36065e-05;0.000179253;8.40299e-05;3.36065e-05;0;0;0;3.46867e-05;3.46867e-05;0;
11;4.32384e-05;0.000216217;0.000108117;4.32384e-05;0;0;0;4.32384e-05;4.32384e-05;0;
12;3.54643e-05;0.000244114;8.86808e-05;3.54643e-05;0;0;0;4.32384e-05;4.32384e-05;0;
13;3.22081e-05;0.000267778;8.05404e-05;3.22081e-05;0;0;0;4.32384e-05;4.32384e-05;0;
14;3.30212e-05;0.000291427;8.25755e-05;3.30212e-05;0;0;0;4.32384e-05;4.32384e-05;0;
15;3.74859e-05;0.000318713;9.37427e-05;3.74859e-05;0;0;0;4.32384e-05;4.32384e-05;0;
16;4.48528e-05;0.000352411;0.000112169;4.48528e-05;0;0;0;4.48528e-05;4.48528e-05;0;
17;4.74681e-05;0.000387545;0.000118713;4.74681e-05;0;0;0;4.74681e-05;4.74681e-05;0;
18;4.71499e-05;0.000421131;0.000117921;4.71499e-05;0;0;0;4.74681e-05;4.74681e-05;0;
19;4.54949e-05;0.000451886;0.000113786;4.54949e-05;0;0;0;4.74681e-05;4.74681e-05;0;
20;4.87895e-05;0.000484859;0.00012203;4.87895e-05;0;0;0;4.87895e-05;4.87895e-05;0;
21;5.38541e-05;0.000521743;0.000134701;5.38541e-05;0;0;0;5.38541e-05;5.38541e-05;0;
22;5.8386e-05;0.000561868;0.000146042;5.8386e-05;0;0;0;5.8386e-05;5.8386e-05;0;
23;6.08429e-05;0.000603046;0.000152194;6.08429e-05;0;0;0;6.08429e-05;6.08429e-05;0;
24;6.21409e-05;0.00064408;0.000155447;6.21409e-05;0;0;0;6.21409e-05;6.21409e-05;0;
25;6.43627e-05;0.0006859;0.000161011;6.43627e-05;0;0;0;6.43627e-05;6.43627e-05;0;
26;6.81729e-05;0.000730066;0.00017055;6.81729e-05;0;0;0;6.81729e-05;6.81729e-05;0;
27;7.31982e-05;0.000777712;0.000183131;7.31982e-05;0;0;0;7.31982e-05;7.31982e-05;0;
28;7.75065e-05;0.000827999;0.000193919;7.75065e-05;0;0;0;7.75065e-05;7.75065e-05;0;
29;8.09112e-05;0.00087993;0.000202447;8.09112e-05;0;0;0;8.09112e-05;8.09112e-05;0;
